id,domain,original_severity,final_severity,final_status,confidence,evidence_level,reverified_current_snapshot,reverification_scope,reverification_note,known_before,title,source,audit_base_sha
INTE-02,Integracje i mosty,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),"Pin-memory fallback geokodu (LIVE) serwuje piny z 1 próbki trail i piny-midpointy o rozrzucie do 1852 m, bez bbox-checku wyniku",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
INTE-03,Integracje i mosty,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),Most Papu: zamówienie z panel_zid=None utyka NA ZAWSZE w przepływie powrotnym — klient nigdy nie dostaje kuriera/czasów (żywy przypadek),recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
INTE-04,Integracje i mosty,P2,P3,CONFIRMED,medium,single_review,False,not-reverified,,NIE (nowe),Most Dr Tusz: brak crash-safe dedupu — śmierć procesu między submit_order a save_state = dubel zlecenia (drugi kurier),recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
INTE-05,Integracje i mosty,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),"Most Dr Tusz: zmiana HTML źródła (nadajesz.pl) = ciche [] na zawsze — brak detektora pustego parsa, alert nie powstanie",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
INTE-06,Integracje i mosty,P2,P2,CONFIRMED,medium,single_review,False,not-reverified,,NIE (nowe),"panel_sync (LIVE, tick 90s): pełnoformularzowy POST update-zamowienie może cofnąć równoległą edycję koordynatora (TOCTOU), a twarda weryfikacja tego nie wykryje",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
INTE-07,Integracje i mosty,P2,P2,CONFIRMED,medium,single_review,False,not-reverified,,NIE (nowe),epaka_fetcher: fail (OCR/login/sesja) alarmuje wyłącznie do własnego pliku logu; brak walidacji że odpowiedź to CSV i brak detekcji capa 10k,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
INTE-08,Integracje i mosty,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,tak,"cod-weekly: potwierdzone NIE naprawione — 3 poniedziałki z rzędu exit 1, za każdym razem inna przyczyna struktury arkusza",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
INTE-09,Integracje i mosty,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),Nominatim bez rate-limitera — burst re-geokodów może złamać politykę OSM (1 req/s) i po cichu ubić fallback + cross-source verify,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
INTE-10,Integracje i mosty,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),"Failsafe SMS (sms/ + tg_heartbeat) jest martwą infrastrukturą: brak unita, SMS_PROVIDER nieustawiony → stub pisze do pliku i zwraca sukces",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
INTE-11,Integracje i mosty,P3,P3,UNVERIFIED,medium,unreviewed,False,not-reverified,,NIE (nowe),"JustSend (SMS klienta, panel): odpowiedź 2xx bez JSON uznawana za wysłaną — utrata SMS bez retry przy stronie serwisowej/WAF",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TEST-01,Testy i dowody,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),"Nocna regresja zależna od żywego stanu produkcyjnego — koordynatorski /stop wywala suitę (klasa potwierdzona 10.07, naprawa tylko punktowa)",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TEST-02,Testy i dowody,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),Flip flagi w żywym flags.json PO regresji zostawia czerwonych strażników na ~16h — protokół deployu nie domyka re-runu strażników flagowych,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TEST-03,Testy i dowody,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),"world_replay_gate: wieczny tryb informacyjny — 5 nocy DIFFS, warunek eskalacji nieosiągalny, werdyktu nikt nie konsumuje",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TEST-04,Testy i dowody,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),"food-age: 2 XPASS świecą od ≥6 nocy na niedeterministycznych testach (strict=False), flip-właściciel zniknął (at#151 nie istnieje) — sygnał xfail bezwartościowy",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TEST-05,Testy i dowody,P2,P2,CONFIRMED,medium,single_review,False,not-reverified,,NIE (nowe),night_guard SUITE-SHRINK to ratchet pełzający: porównanie tylko z poprzednią nocą (5%) + ślepe okno po hard-error,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TEST-06,Testy i dowody,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),"Skipy ukrywają niebiegnący w kanonie pion parity ML: pyarrow brak w venv dispatch, a ENABLE_LGBM_TWOMODEL_SHADOW=true LIVE",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TEST-07,Testy i dowody,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),Hermetyzacja Z-P2-07 chroni tylko system plików — brak network-guarda; panel_client bez pytest-gate,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TEST-08,Testy i dowody,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),night_guard: licznik flaky-streak resetuje się przy każdej przerwie — flaky co drugą noc nigdy nie zaalarmuje,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TEST-09,Testy i dowody,P3,P3,UNVERIFIED,medium,unreviewed,False,not-reverified,,tak,Rejestr przyrządów FAZA1: ~11–12 z 19 VOID nadal VOID — w tym cała trójka feas_carry z ryzykiem re-flipu na kłamiących liczbach,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
TEST-10,Testy i dowody,P3,P3,UNVERIFIED,medium,unreviewed,False,not-reverified,,tak,"Nocny bieg night_guard trwale rozjedzie się ze stanem dziennym: baseline strip-guard (134 survivors) wolno tylko maleć, ale kuracja rejestru flag 504/504 nie zmniejszyła pokrycia stripu",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
DOCS-01,Docs↔kod + algorytmika,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),"Doktryna ""po D3 flags.json=kanon, env martwy"" fałszywa: 23 flagi silnika żyją WYŁĄCZNIE w env drop-inach systemd (+15 dual-source)",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
ALGO-01,Docs↔kod + algorytmika,P2,P2,CONFIRMED,high,single_review,False,not-reverified,,NIE (nowe),"eta_calibration champion_challenger przeczy własnemu docstringowi: promuje modele do +2% GORSZE, bez testu istotności, porównując MAE między różnymi oknami holdout",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
ALGO-02,Docs↔kod + algorytmika,P2,P2,CONFIRMED,medium,single_review,False,not-reverified,,NIE (nowe),"Leak cech z przyszłości w pickup-leg eta_calibration: hour i load liczone z FAKTYCZNEGO odbioru — ""-52% vs silnik"" częściowo zawyżone + gwarantowany train/serve skew przy wpięciu",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
DOCS-02,Docs↔kod + algorytmika,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),"ZIOMEK_INVARIANTS.md kłamie o stanie flag claim-ledger: ""default OFF, NIE w flags.json"" — a ENABLE_CLAIM_LEDGER_INVARIANT_CHECK=true JEST w flags.json (flip nastąpił)",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
DOCS-03,Docs↔kod + algorytmika,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),"docs/ARCHITECTURE.md wewnętrznie sprzeczny z CODEMAP i stanem: world-replay-gate ""instalacja za ACK"", a timer LIVE od 06.07 (biega co noc)",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
DOCS-04,Docs↔kod + algorytmika,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),"Liczby w ""żywych"" mapach przeterminowane mimo STATUS 2026-07-10: baseline testów 4109/0 (fakt: 4560 collected), ""95 unitów ~60 enabled"" (fakt: 148/129), tools ~159 (fakt: 178), rejestr bliźniaków route-order o ""4 kopiach"" (fakt: kanon + delegacje LIVE)",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
ALGO-03,Docs↔kod + algorytmika,P3,P3,UNVERIFIED,high,unreviewed,False,not-reverified,,NIE (nowe),"eta_calib_shadow.jsonl gromadzi duplikaty (6568 kluczy zdublowanych, do x7) — codzienny append tego samego przesuwnego holdoutu; obok pułapka nazewnicza z eta_calibration_shadow.jsonl",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
ALGO-04,Docs↔kod + algorytmika,P3,P3,UNVERIFIED,medium,unreviewed,False,not-reverified,,NIE (nowe),"Mapa conditional-ETA (eta_cell_residual_map.json) zbudowana jednorazowo 07.07 — brak timera/generatora cyklicznego, korekta będzie się starzeć po wpięciu w obietnicę",recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
DOCS-05,Docs↔kod + algorytmika,P3,P3,UNVERIFIED,medium,unreviewed,False,not-reverified,,tak,Weryfikacja znanego: nocny ALERT night-guard (5 confirmed-fail) — przyczyny usunięte commitem b532697 rano 10.07; źródłem był deploy pin-memory 09.07 z pominięciem pełnej regresji,recovered_claude_appendix,70af4faea8b84d30c66dc933eadf7291f94a1b79
AUDIT-01,Audit process,P2,P2,PARTIAL,high,direct,True,audit-process,"Stan historyczny potwierdzony; branch i pakiet odtworzono. Zamrożony raport pozostawia commit, push i trwały handoff jako zewnętrzną bramkę wydania.",NIE,"Na starcie odzysku brakowało pakietu 35 artefaktów, branch/worktree, commit/push i trwałego handoffu",codex_recovery,70af4faea8b84d30c66dc933eadf7291f94a1b79
AUDIT-02,Audit process,P2,P2,CONFIRMED,high,direct,True,audit-process,Indeks maszynowy zachowuje status każdego wpisu zamiast powtarzać zagregowane liczby bez mianownika.,NIE,Synteza Claude’a ma niespójną arytmetykę statusów i severity względem 106 wpisów załącznika,codex_recovery,70af4faea8b84d30c66dc933eadf7291f94a1b79
TEST-11,Testy i dowody,P2,P2,CONFIRMED,high,reproduced,True,targeted-test+live-read-dependency,"Targeted repro: actual verdict open, expected known-open. Helper ma twardą ścieżkę do live flags.json, więc baseline zależy od runtime mimo pytest sandboxu.",NIE,Test rejestru flag czyta live flags.json i nadal oczekuje historycznego known-open po flipie USE_V2_PARSER,codex_recovery,70af4faea8b84d30c66dc933eadf7291f94a1b79
TEST-12,Testy i dowody,P2,P2,CONFIRMED,high,reproduced,True,full-HERMETIC_STRICT-suite,"STRICT na bazowym HEAD: 4792 passed, 6 failed, 76 skipped, 8 xfailed, 2 xpassed. Pięć faili to blokowane live reads; szósty to TEST-11.",NIE,Pięć script-tests czyta live stan kurierów i nie jest objętych aktualną kwarantanną STRICT,codex_recovery,70af4faea8b84d30c66dc933eadf7291f94a1b79
